title,author_names,edition_count,first_publish_year,subject,trending_rank,extraction_timestamp
The Power of Positive Thinking,"",89,1952,"",0,2024-12-02 20:44:33
Diary of a Wimpy Kid,"",93,1900,"",0,2024-12-02 20:44:33
How To Talk To Anyone,"",1,2021,"",0,2024-12-02 20:44:33
Can't Hurt Me,"",7,2018,"",0,2024-12-02 20:44:33
The Silent Patient,"",25,2018,"",0,2024-12-02 20:44:33
Dune,"",116,1965,"",0,2024-12-02 20:44:33
The 7 Habits of Highly Effective People,"",74,1989,"",0,2024-12-02 20:44:33
The millionaire master plan,"",8,2014,"",0,2024-12-02 20:44:33
Pride and Prejudice,"",4035,1813,"",0,2024-12-02 20:44:33
Hamlet,"",1308,1603,"",0,2024-12-02 20:44:33
The Art of Seduction,"",20,1901,"",0,2024-12-02 20:44:33
Die Verwandlung,"",948,1915,"",0,2024-12-02 20:44:33
The Laws of Human Nature,"",9,2018,"",0,2024-12-02 20:44:33
Sapiens,"",39,2011,"",0,2024-12-02 20:44:33
Twisted Lies,"",8,2022,"",0,2024-12-02 20:44:33
Animal Farm,"",412,1945,"",0,2024-12-02 20:44:33
Zero to One,"",10,2001,"",0,2024-12-02 20:44:33
The Power of Habit,"",19,2012,"",0,2024-12-02 20:44:33
Deep Work,"",10,2016,"",0,2024-12-02 20:44:33
Shatter Me,"",13,2011,"",0,2024-12-02 20:44:33
Girl In pieces,"",4,2016,"",0,2024-12-02 20:44:33
Twilight,"",116,2005,"",0,2024-12-02 20:44:33
Autobiography of a Yogi,"",182,1946,"",0,2024-12-02 20:44:33
"Kalusugang pampubliko sa kolonyal na Maynila, 1898-1918","",1,2009,"",0,2024-12-02 20:44:33
The Hate U Give,"",52,2017,"",0,2024-12-02 20:44:33
